%
@relation Meier500_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute feature26 REAL
@attribute feature27 REAL
@attribute class {1,2,3,4,5}

@data
0.30411,1.5962,-0.12396,0.52815,-0.022489,0.50209,3.3335,3.4807,0.97853,1.0627,3.4726,3.7502,5.6577,-1.9201,3.1417,-0.85888,2.8282,-2.6505,2.8318,-2.9838,-3.6893,-1.6025,-2.2046,-4.4081,2.3098,-0.22042,1.5661,3
-0.83022,-0.68485,-0.76082,-0.68684,-0.78521,-0.69498,-1.1503,-0.88875,-1.186,-1.1879,-1.1741,-1.0947,-0.64471,1.1796,-1.1785,0.42937,-0.95709,1.332,-0.53834,0.17187,0.56786,1.2674,1.1583,0.86106,-0.73391,-0.82459,-0.69007,5
-0.7952,-0.68929,-0.73097,-0.68883,-0.75489,-0.69498,-1.1386,-0.8881,-1.068,-1.1907,-1.144,-1.0947,-0.67416,0.3408,-1.007,-0.71298,-0.74596,0.44754,-0.93468,-0.62907,0.33126,0.080783,0.54327,0.25889,0.18111,-0.46482,-0.69819,5
-0.53643,-0.67154,-0.53622,-0.66888,-0.53788,-0.67797,-0.36889,-0.62541,-0.21361,-0.1962,-0.30457,-0.44186,-0.55215,0.72143,-0.95406,0.067596,-0.67963,1.011,-0.58954,0.12324,0.66854,0.79751,0.92952,1.1381,-1.35,-0.47838,-0.49041,1
-0.54421,-0.6671,-0.5547,-0.67686,-0.55544,-0.68435,-1.1503,-0.8881,-1.1982,-1.1879,-1.1762,-1.0947,-0.042528,-0.82827,-0.5335,-1.472,0.28043,1.1344,-1.4168,-0.99414,-0.49071,-0.92801,-0.45468,0.95267,-1.048,-0.54968,-0.74355,5
-0.5695,-0.67598,-0.5746,-0.67487,-0.57618,-0.68435,-0.26545,-0.50337,-0.45367,-0.39179,-0.32179,-0.34735,-0.76023,0.12474,-0.49245,-0.32121,-0.4703,0.74505,-0.52557,0.22709,0.74991,0.071591,0.43407,0.94426,-0.88016,-0.47173,-0.75601,1
-0.97615,-0.73367,-0.86744,-0.7028,-0.90648,-0.71412,-0.88407,-0.82002,-0.64896,-0.85458,-0.84479,-0.89843,-0.85792,0.9999,-0.5914,0.65486,-1.1124,1.4594,0.10893,0.91631,1.169,0.67078,0.9701,1.1412,-1.3127,-0.69502,-0.79283,1
-0.85552,-0.68485,-0.77504,-0.68883,-0.80276,-0.69711,-1.1447,-0.88875,-1.1413,-1.1879,-1.1633,-1.0947,-0.73339,1.0176,-0.40691,0.7767,-1.0504,0.29193,0.36988,0.77244,0.75681,0.84884,0.83199,-0.40354,0.95923,-0.43185,-0.75125,5
-0.14924,-0.63604,-0.34857,-0.63696,-0.30811,-0.63545,1.449,2.0889,0.27871,0.21425,0.65425,1.4281,-0.83647,1.0476,-0.83964,0.52699,-0.97883,0.32104,-0.20812,0.42525,0.83966,0.96457,0.94251,0.25255,0.24674,-0.59035,-0.75097,4
-0.78742,-0.69373,-0.72813,-0.68285,-0.75011,-0.69286,-1.1483,-0.88746,-1.1372,-1.1907,-1.1622,-1.0955,0.24431,-0.78341,-0.98664,-1.6215,0.4101,0.20844,-1.71,-1.5142,-0.70013,-0.7078,-0.31532,1.1947,-1.6321,-0.63519,-0.65492,5
-0.77964,-0.69373,-0.72813,-0.68285,-0.74691,-0.69286,-1.1572,-0.88746,-1.2593,-1.1851,-1.1924,-1.0947,-0.58813,-0.034565,-0.85274,-0.74879,-0.29067,0.71728,-1.046,-0.40062,0.41916,-0.0035614,0.35803,1.1343,-1.366,-0.65331,-0.71499,5
0.047276,-0.38309,-0.39975,-0.43346,-0.30971,-0.41007,1.2437,0.4151,0.40077,0.60267,0.87486,0.94531,-0.42218,-1.3559,1.8182,-0.82737,0.88354,-0.67836,1.0082,1.2341,0.061238,-1.5003,-1.0967,-0.71918,1.1754,-0.38609,-0.077237,3
-0.51892,-0.6671,-0.53337,-0.66489,-0.5315,-0.67585,0.50389,-0.28371,0.82392,0.69082,0.46808,0.24518,-0.55415,-0.26256,-0.52339,-0.86377,-0.18697,0.41168,-0.91497,-0.24495,0.3578,-0.35833,0.13887,1.1393,-1.3772,-0.66895,-0.6006,1
1.5299,2.8831,2.6211,1.803,2.3518,1.9309,0.30509,-0.41602,0.77103,0.58614,0.4358,0.098322,5.9774,-2.3734,1.4335,-2.8043,3.7495,-3.1771,-2.1138,-5.0215,-4.5928,-2.4391,-3.7204,-1.728,0.54969,1.647,4.0293,2
-0.27376,0.44678,-0.53053,-0.40154,-0.45331,-0.25698,0.6546,0.39968,0.67745,0.68255,0.95987,0.67631,6.1496,-2.3056,2.0152,-2.2761,3.9922,-3.0271,-1.3583,-4.3786,-4.4366,-2.187,-4.0255,-4.837,1.91,-0.23788,-0.6335,3
-0.65317,-0.67598,-0.63004,-0.67886,-0.64001,-0.68648,-0.40081,-0.60678,-0.2543,-0.40005,-0.32502,-0.47094,-0.41178,-0.03361,-1.0606,-0.88979,-0.27947,0.65836,-1.2365,-0.6865,0.21723,0.01003,0.34662,1.149,-1.4237,-0.75785,-0.55061,1
0.81776,1.3787,0.95927,0.16505,0.93011,0.30435,0.58672,0.46198,1.833,3.261,0.91683,0.7432,2.3391,-2.2291,3.2156,3.649,2.5959,-2.2246,5.7437,-0.94288,-2.2816,-2.472,-2.8032,-4.4953,2.5019,-0.18783,-0.81804,3
