@relation 'HTS data set-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 23'

@attribute feature7 numeric
@attribute feature236 numeric
@attribute feature10 numeric
@attribute feature239 numeric
@attribute feature124 numeric
@attribute feature2 numeric
@attribute feature241 numeric
@attribute feature9 numeric
@attribute feature3 numeric
@attribute feature125 numeric
@attribute feature244 numeric
@attribute feature165 numeric
@attribute feature195 numeric
@attribute feature242 numeric
@attribute feature4 numeric
@attribute feature225 numeric
@attribute feature132 numeric
@attribute feature237 numeric
@attribute feature5 numeric
@attribute feature128 numeric
@attribute feature6 numeric
@attribute feature129 numeric
@attribute feature127 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.007156,0.006834,0.008042,0.008057,0.007465,0.008141,0.006782,0.006424,0.001213,0.001143,0.008042,5.393966,5.506859,0.000585,0.006424,5.606993,0.007492,0.000509,0.012863,1.428962,1.11635,0.006495,0.012863,7
0.006271,0.006072,0.007019,0.007385,0.00657,0.007079,0.00601,0.005753,0.001058,0.000967,0.007279,5.403312,5.4607,0.000533,0.005753,5.518184,0.007279,0.000459,0.011032,1.386816,1.091127,0.005827,0.011032,7
0.007494,0.00682,0.00824,0.008392,0.007832,0.009147,0.006823,0.006714,0.001653,0.001683,0.008392,5.417502,5.578978,0.000873,0.006714,5.723338,0.008392,0.000617,0.014588,1.275013,1.026673,0.006343,0.014588,6
0.008905,0.008251,0.009735,0.01001,0.008945,0.009603,0.008102,0.006928,0.000892,0.001221,0.009918,9.531334,9.649943,0.001122,0.006928,9.74002,0.009155,0.001096,0.012146,1.794598,1.558389,0.007509,0.012146,4
0.007306,0.006707,0.009049,0.009094,0.008021,0.00915,0.006675,0.00621,0.001202,0.001634,0.008972,8.371784,8.561323,0.000941,0.00621,8.742388,0.008637,0.000858,0.011704,1.539742,1.351537,0.006184,0.011704,5
0.014067,0.012316,0.015656,0.015686,0.012786,0.013439,0.011558,0.011353,0.000833,0.00183,0.015381,12.832118,12.942543,0.002854,0.011353,12.992559,0.014008,0.002244,0.015656,2.262516,2.447593,0.00971,0.015686,8
0.005841,0.00574,0.006241,0.006607,0.005704,0.005676,0.005715,0.005325,0.000182,0.000269,0.006394,8.093009,8.088761,0.000303,0.00528,8.074971,0.006394,0.000325,0.006378,1.271641,0.957931,0.005627,0.006607,9
0.005081,0.004986,0.005615,0.005631,0.005026,0.005083,0.004999,0.004685,0.000139,0.000209,0.005539,8.588305,8.613552,0.000227,0.004685,8.636672,0.005539,0.000243,0.005615,1.05095,0.757092,0.004934,0.005631,9
0.005196,0.005117,0.00557,0.00557,0.005138,0.005168,0.00507,0.004791,0.000126,0.00015,0.005524,10.374487,10.459064,0.000171,0.004791,10.505584,0.005371,0.000166,0.00557,1.073655,0.789807,0.004994,0.00557,9
0.006015,0.005875,0.006699,0.00679,0.006041,0.006173,0.005986,0.005447,0.000326,0.000347,0.00679,6.209866,6.266591,0.000327,0.005447,6.329805,0.00679,0.00029,0.007691,1.426581,1.064653,0.005969,0.007691,9
